"","words","sentiments"
"722","हिलो",""
"723","लाग्ला",""
"724","नाइलनको",""
"725","साडीमा",""
"726","सानु",""
"727","समाऊ",""
"728","घुम्न",""
"729","जाऊ",""
"730","बाइस",""
"731","वर्ष",""
"732","लागिसक्या",""
"733","फिलै",""
"734","नहुने",""
"735","मैंयाहरु",""
"736","भेटे",""
"737","दिलै",""
"738","ट्यालेन्ट",""
"739","स्यालेन्ट",""
"740","नचाहिने",""
"741","सलमान",""
"742","खानको",""
"743","केटाहरुलाई",""
"744","झुलाएर",""
"745","ड्रिम",""
"746","समवनको",""
"747","भिनाजुको",""
"748","सिंगल",""
"749","सालो",""
"750","गोरो",""
"751","खोज्छौ",""
"752","यता",""
"753","ह्यान्डसम",""
"754","नपट्टीएसम्म",""
"755","अनेक",""
"756","गफ",""
"757","गर्ने",""
"758","मिसन",""
"759","पुरा",""
"760","भएपछि",""
"761","अफ",""
"762","घरमा",""
"763","बाहिर",""
"764","कृष्ण",""
"765","फकाउनलाई",""
"766","जे",""
"767","भन्छौ",""
"768","कत्ति",""
"769","सस्तो",""
"770","ड्याड",""
"771","ममको",""
"772","छोरी",""
"773","पाउनलाई",""
"774","गार्है",""
"775","पर्ला",""
"776","यती",""
"777","राम्री",""
"778","गोरी",""
"779","गोदावरी",""
"780","बनैमा",""
"781","राख",""
"782","मनैमा",""
"783","आउन",""
"784","बसौं",""
"785","चोभारैको",""
"786","डाँडइमा",""
"787","काखैमा",""
"788","प्रिती",""
"789","साटौं",""
"790","शनिबार",""
"791","बिहानै",""
"792","हिडे",""
"793","फिलिम",""
"794","हेर्नलाई",""
"795","हेरी",""
"796","कुरी",""
"797","बसे",""
"798","बसेहै",""
"799","बाल्कुनिको",""
"800","कुनामा",""
"801","फिल्म",""
"802","हेर्ने",""
"803","धुनमा",""
"804","अँध्यारोमा",""
"805","छाम्मछुम्म",""
"806","तिम्लाई",""
"807","गरे",""
"808","सुन्दरीजल",""
"809","खोलामा",""
"810","बुक",""
"811","झोलामा",""
"812","पढ्नी",""
"813","गरौँ",""
"814","चन्द्रगिरि",""
"815","डाँडईमा",""
"816","डेटिंग",""
"817","गाको",""
"818","बेलैमा",""
"819","लब्ली",""
"820","सेल्फी",""
"821","हानौं",""
"822","बसौ",""
"823","ड्दैमा",""
"824","काखेमा",""
"825","एकोहोरो",""
"826","नलाएकै",""
"827","बेस",""
"828","हुनेछ",""
"829","पाइला",""
"830","छुट्टै",""
"831","चल्नेछ",""
"832","झुटो",""
"833","कसम",""
"834","नखाएकै",""
"835","छन्",""
"836","यात्रा",""
"837","गर्नु",""
"838","काँडामाथि",""
"839","हिड्छु",""
"840","भनें",""
"841","उठे",""
"842","हजार",""
"843","लड्छु",""
"844","जानी",""
"845","व्यर्थै",""
"846","नजलाएकै",""
"847","बन्ला",""
"848","प्रेम",""
"849","कहानी",""
"850","लायौ",""
"851","भने",""
"852","डाँडई",""
"853","पर्दा",""
"854","पछि",""
"855","धायौ",""
"856","बैस",""
"857","नफालेको",""
"858","चुपचाप",""
"859","सहिदिन्छु",""
"860","गइदिन्छु",""
"861","चाह्यौ",""
"862","मैले",""
"863","दिएकै",""
"864","थिएँ",""
"865","खुशीलाई",""
"866","भनी",""
"867","जिएँ",""
"868","भइगो",""
"869","भन्दिन",""
"870","बिदा",""
"871","भइदिन्छु",""
"872","छाइदियौ",""
"873","जीवनमा",""
"874","खुशीको",""
"875","बहार",""
"876","बनेर",""
"877","आइदियौ",""
"878","संसारमा",""
"879","सृष्टिको",""
"880","उपहार",""
"881","नदेखें",""
"882","एकै",""
"883","छिन",""
"884","खसे",""
"885","झैं",""
"886","नबोले",""
"887","भास्से",""
"888","नहिड्नु",""
"889","नदेखे",""
"890","खुशी",""
"891","दिन्छु",""
"892","सधैं",""
"893","भरीलाई",""
"894","फूल",""
"895","त्यसै",""
"896","कहाँ",""
"897","फुल्छ",""
"898","गोडमेलै",""
"899","नगरी",""
"900","बनिदिनु",""
"901","दिलैको",""
"902","चौतारी",""
"903","या",""
"904","जून",""
"905","कुन",""
"906","कुन्नी",""
"907","आभास",""
"908","छुन",""
"909","भनौं",""
"910","काँडा",""
"911","बिझिदेला",""
"912","बसिदेला",""
"913","सूर",""
"914","धुन",""
"915","हेर्यो",""
"916","राम्रो",""
"917","आँखै",""
"918","लोभ्याइ",""
"919","हेरिरहें",""
"920","होसै",""
"921","उडाइ",""
"922","लाने",""
"923","चांदी",""
"924","सानीलाई",""
"925","छोएर",""
"926","खाइदिऊला",""
"927","मरी",""
"928","जाउँला",""
"929","छोई",""
"930","खाइदिउंला",""
"931","लैजाउँला",""
